fixed acidity,volatile acidity,citric acid,residual sugar,value,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Country,quality
6.5,0.18,0.33,,168073,16,131,0.9965,3.28,0.44,8.7,Spain,7
6.7,0.15,0.29,5,134715,28,105,0.9946,3.52,0.44,10.2,Africa,7
8.2,0.345,1,18.2,263015,55,205,0.99965,2.96,0.43,9.6,india,5
8.5,0.16,0.35,1.6,188601,24,147,0.9935,2.96,0.36,10,Spain,5
6.8,0.705,0.25,3.2,73131,10,57,0.996,3.36,0.52,9.5,Africa,4
7.3,0.25,0.39,6.4,107772,8,84,0.9942,3.18,0.46,11.5,india,5
7.6,0.345,0.26,1.9,171922,15,134,0.9936,3.08,0.38,9.5,india,5
7.6,0.22,0.34,9.7,183469,26,143,0.9965,3.08,0.49,9.8,india,6
6.5,0.17,0.33,1.4,127017,14,99,0.9928,3.23,0.55,10.1,Spain,6
8.2,0.23,0.37,1.3,150111,39,117,0.9928,2.99,0.36,10,Africa,5
7.6,0.22,0.34,9.7,183469,26,143,0.9965,3.08,0.49,9.8,india,6
7.6,0.345,0.26,1.9,171922,15,134,0.9936,3.08,0.38,9.5,Spain,5
7.5,0.32,0.26,1.8,170639,13,133,0.9938,3.07,0.38,9.5,Africa,5
6.6,0.23,0.32,0.9,101357,25,79,0.9926,3.39,0.54,10.2,india,7
6.6,0.2,0.32,1.1,100074,25,78,0.9926,3.39,0.54,10.2,Spain,7
7.3,0.24,0.34,15.4,223242,38,174,0.9983,3.03,0.42,9,Africa,6
7.3,0.24,0.34,15.4,223242,38,174,0.9983,3.03,0.42,9,india,6
8,0.42,0.36,5,129583,34,101,0.992,3.13,0.57,12.3,india,7
7.3,0.24,0.34,15.4,223242,38,174,0.9983,3.03,0.42,9,india,6
6.1,0.19,0.25,4,143696,23,112,0.9923,3.37,0.51,11.6,Spain,6
5.9,0.26,0.21,12.5,195016,36,152,0.9972,3.28,0.43,9.5,Africa,6
8.3,0.23,0.43,3.2,129583,14,101,0.9928,3.15,0.36,11.5,india,5
6.5,0.34,0.28,1.8,241204,43,188,0.9928,3.13,0.37,9.6,Spain,6
6.8,,0.35,17.5,196299,38,153,0.9994,3.24,0.42,9,Africa,6
6.5,0.08,0.33,1.9,119319,23,93,0.991,3.34,0.7,12,india,7
5.5,0.42,0.09,1.6,87244,18,68,0.9906,3.33,0.51,11.4,Spain,7
5.1,0.42,0.01,1.5,130866,25,102,0.9894,3.38,0.36,12.3,Africa,7
6,,0.19,1.7,141130,24,110,0.9898,3.32,0.47,12.6,india,7
6.8,,0.35,17.5,196299,38,153,0.9994,3.24,0.42,9,india,6
6.5,0.8,0.33,1.9,119319,23,93,0.991,3.34,0.7,12,india,7
7.1,0.13,0.38,1.8,146262,14,114,0.9925,3.32,0.9,11.7,Spain,6
7.6,0.3,0.25,4.3,142413,22,111,0.9956,3.12,0.49,9.2,Africa,5
6.6,0.13,0.3,4.9,168073,47,131,0.9946,3.51,0.45,10.3,india,6
6.5,0.14,0.33,7.6,242487,53,189,0.9966,3.25,0.49,8.6,Spain,5
7.7,0.28,0.33,6.7,198865,32,155,0.9951,3.39,0.62,10.7,Africa,7
6,0.2,0.71,1.6,69282,10,54,0.9927,3.12,0.47,9.8,india,5
6,0.19,0.71,1.5,70565,9,55,0.9927,3.12,0.46,9.8,Spain,6
7.7,0.28,0.33,6.7,198865,32,155,0.9951,3.39,0.62,10.7,Africa,7
5.1,0.39,0.21,1.7,92376,15,72,0.9894,3.5,0.45,12.5,india,6
5.7,0.36,0.34,4.2,98791,21,77,0.9907,3.41,0.45,11.9,india,6
6.9,0.19,0.33,1.6,191167,63,149,0.9925,3.44,0.52,10.8,india,5
6,0.41,0.21,1.9,156526,29,122,0.9928,3.42,0.52,10.5,Spain,6
7.4,0.28,0.3,5.3,206563,44,161,0.9941,3.12,0.48,10.3,Africa,6
7.4,0.3,0.3,5.2,209129,45,163,0.9941,3.12,0.45,10.3,india,6
6.9,0.19,0.33,1.6,191167,63,149,0.9925,3.44,0.52,10.8,Spain,5
7.7,0.28,0.39,8.9,150111,8,117,0.9935,3.06,0.38,12,Africa,7
8.6,0.16,0.38,3.4,183469,41,143,0.9932,2.95,0.39,10.2,india,6
8.2,0.26,0.44,1.3,88527,7,69,0.9944,3.14,0.62,10.2,Spain,4
6.5,0.25,0.27,15.2,278411,75,217,0.9972,3.19,0.39,9.9,Africa,5
7,0.24,0.18,1.3,79546,9,62,0.994,3.38,0.47,10.1,india,4
8.6,0.18,0.36,1.8,239921,24,187,0.9956,3.25,0.55,9.5,india,6
7.8,0.27,0.34,1.6,197582,27,154,0.9927,3.05,0.45,10.5,india,6
6,,0.34,1.3,37207,6,29,0.9924,3.29,,,Spain,5
6.1,0.24,,9.8,195016,33,152,0.9966,,0.47,9.5,Africa,6
8,0.24,0.3,,,43,184,,3.05,0.5,9.2,india,6
